can_smiles,IC50_nM
C=S(C)(=O)NC(=O)C(=O)N[C@@H]1[C@@H]2CC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,510.0
C=S(C)(=O)NCC(=O)N[C@@H]1[C@@H]2CC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,1130.0
CC(=N)/C(=C(/C)O)c1ccc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c2c1,333.0
CC(=O)Cc1cn(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)nn1,10.0
CC(=O)Cn1cc(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)nn1,2.0
CC(=O)N(C)CCCc1cc(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)on1,3.0
CC(=O)N(C)[C@@H]1[C@@H]2CC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,980.0
CC(=O)N(C)[C@H]1CC[C@@H](n2cc3cc(C(=O)Nc4cnn5cccnc45)c(OC4CC4)cc3n2)CC1,10.6
CC(=O)N(C)[C@H]1CC[C@H](n2cc3cc(C(=O)Nc4cnn5cccnc45)c(OC4CC4)cc3n2)CC1,1.0
CC(=O)N1C2CC1CN([C@H]1CC[C@H](Nc3nc(Nc4cnn(C5CCOCC5)c4)nc4snc(C)c34)CC1)C2,12.2
CC(=O)N1C2CC1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,1260.0
CC(=O)N1C2CCC1CC(c1cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on1)C2,2.0
CC(=O)N1C2CCC1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,940.0
CC(=O)N1C2CCC1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3(C)COC3)s1)C2,590.0
CC(=O)N1CC(Cn2cnc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)c2)C1,16.0
CC(=O)N1CC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,3.0
CC(=O)N1CC(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,5.8
CC(=O)N1CC(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)C1,4.0
CC(=O)N1CC(c2cn(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1,5.0
CC(=O)N1CC(n2cc(-c3cnc(-n4ccc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1,4.0
CC(=O)N1CC(n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1,3.0
CC(=O)N1CC(n2cc(-c3cnc(-n4ncc5cc(Cl)cnc54)cc3NC(C)C)nn2)C1,6.0
CC(=O)N1CC(n2cnc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)c2)C1,22.0
CC(=O)N1CC2(C1)CN(C(=O)Cn1cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)ccc3n1)C2,540.0
CC(=O)N1CC2(C1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,450.0
CC(=O)N1CC2(CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)C1,5.0
CC(=O)N1CC2(CC[C@@H](n3cc4cc(C(=O)Nc5cnn6cccnc56)c(OC5CC5)cc4n3)[C@@H](C)C2)C1,0.8
CC(=O)N1CC2(CC[C@@H](n3cc4cc(C(=O)Nc5cnn6cccnc56)c(OC5CC5)cc4n3)[C@H](C)C2)C1,3.0
CC(=O)N1CC2CC(C1)N2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,730.0
CC(=O)N1CC2CCC(C1)N2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,2560.0
CC(=O)N1CCC(CNc2nc(-c3cccc(-c4cnn(C)c4)c3)ncc2-c2cnn(C)c2)C(F)C1,550.0
CC(=O)N1CCC(COc2nccc3cc(C(N)=O)c(OC(C)C)cc23)CC1,2862.0
CC(=O)N1CCC(F)(CNc2nc(-c3cccc(-c4cnn(C)c4)c3)ncc2-c2cnn(C)c2)CC1,550.0
CC(=O)N1CCC(F)(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)CC1,3.0
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cc[nH]n5)n4)c(C(F)F)n3)C2)CC1,0.59
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cn[nH]c5)n4)c(C(F)F)n3)C2)CC1,1.9
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C(C)(C)C#N)c5)n4)c(C(F)F)n3)C2)CC1,0.91
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C(C)(C)CN)c5)n4)c(C(F)F)n3)C2)CC1,0.73
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C(C)(C)CO)c5)n4)c(C(F)F)n3)C2)CC1,1.8
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C(C)C)c5)n4)c(C(F)F)n3)C2)CC1,1.9
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C(F)F)c5)n4)c(C(F)F)n3)C2)CC1,4.3
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C)c5)n4)c(C(F)F)n3)C2)CC1,4.2
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C6(C#N)CCC6)c5)n4)c(C(F)F)n3)C2)CC1,2.0
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C6(CN)CCC6)c5)n4)c(C(F)F)n3)C2)CC1,1.6
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(C6(CO)CCC6)c5)n4)c(C(F)F)n3)C2)CC1,3.2
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(CC(C)(C)O)c5)n4)c(C(F)F)n3)C2)CC1,3.9
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(CC(F)(F)F)c5)n4)c(C(F)F)n3)C2)CC1,0.87
CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cnn(CC(F)F)c5)n4)c(C(F)F)n3)C2)CC1,1.2
CC(=O)N1CCC(NC(=O)c2cc(Nc3nc(N[C@H]4CC[C@](C)(O)CC4)c4sccc4n3)sn2)CC1,550.0
CC(=O)N1CCC(NC(=O)c2cnc(Nc3ccc(C#N)cn3)cc2NC(C)C)CC1,30.7
CC(=O)N1CCC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,2.0
CC(=O)N1CCC(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,8.0
CC(=O)N1CCC(Nc2nc(-c3cccc(-c4cnn(C)c4)c3)ncc2-c2cnn(C)c2)CC1,550.0
CC(=O)N1CCC(O)(CNc2nc(-c3cccc(-c4cnn(C)c4)c3)ncc2-c2cnn(C)c2)CC1,550.0
CC(=O)N1CCC(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)C1,3.0
CC(=O)N1CCC(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)CC1,2.0
CC(=O)N1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C)cc3)n2)CC1,180.0
CC(=O)N1CCC(c2cn(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)CC1,6.0
CC(=O)N1CCC(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,450.0
CC(=O)N1CCC(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1,590.0
CC(=O)N1CCC(n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1,2.0
CC(=O)N1CCC(n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)CC1,4.0
CC(=O)N1CCC(n2cc(NC(=O)c3coc(-c4ccnc(C)c4)n3)c(C(N)=O)n2)CC1.Cl,17.0
CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,25.5
CC(=O)N1CCC(n2cc(Nc3nc(NC4CCOCC4)c4nc(CC#N)ccc4n3)cn2)CC1,12.0
CC(=O)N1CCC(n2cc(Nc3nc(OC4CCOCC4)c4nc(C)ccc4n3)cn2)CC1,37.0
CC(=O)N1CCC(n2cc(Nc3nc(OC4CCOCC4)c4nc(CC#N)ccc4n3)cn2)CC1,32.0
CC(=O)N1CCC1c1cc(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)on1,15.0
CC(=O)N1CCC2(CC1)CC(C(=O)Nc1nc3ccc(-c4cnc(CO[C@H]5CCC[C@@H]5O)nc4)cc3s1)C2,1.38
CC(=O)N1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,590.0
CC(=O)N1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3CCOCC3)s1)C2,850.0
CC(=O)N1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3COC3)s1)C2,240.0
CC(=O)N1CCC2(CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)C2)C1,13.0
CC(=O)N1CCCC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,2.0
CC(=O)N1CCCC(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)C1,1.0
CC(=O)N1CCCC(n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)C1,1.0
CC(=O)N1CCCC1c1cc(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)on1,7.0
CC(=O)N1CCCCC1CCNc1nc(-c2cccc(-c3cnn(C)c3)c2)ncc1-c1cnn(C)c1,550.0
CC(=O)N1CCCN(C2CCC(Nc3nc(Nc4cnn(C5CCOCC5)c4)nc4snc(C)c34)CC2)CC1,1.3
CC(=O)N1CCC[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,3.0
CC(=O)N1CCN(C(=O)Cn2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)CC1,6.0
CC(=O)N1CCN(C(=O)N[C@@H]2[C@@H]3CC[C@H]2CN(c2nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s2)C3)CC1,990.0
CC(=O)N1CCN(C2CC(C(=O)Nc3nc4ccc(-c5cnc(CO[C@H]6CCC[C@@H]6O)nc5)cc4s3)C2)CC1,2.98
CC(=O)N1CCN([C@H]2CC[C@@H](Nc3ncnc4[nH]cc(C(C)C)c34)CC2)CC1,840.0
CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,200.5
CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C5CCOCC5)c4)nc4snc(C)c34)CC2)CC1,3.3
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4[nH]cc(C5CCOCC5)c34)CC2)CC1,30.0
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1,66.5
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc(C(C)C)c34)CC2)CC1,21.939999999999998
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc(C5CCOCC5)c34)CC2)CC1,93.16499999999999
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc([C@H](C)CC(N)=O)c34)CC2)CC1,21.0
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc([C@H]5CC[C@H](C(N)=O)CC5)c34)CC2)CC1,78.0
CC(=O)N1CCN([C@H]2C[C@@H](C(=O)Nc3cc4cc(-c5cnc(CO[C@H]6CCC[C@@H]6O)nc5)ccn4n3)C2)[C@@H](C)C1,1.32
CC(=O)N1CCN([C@H]2C[C@@H](C(=O)Nc3nc4ccc(-c5cnc(CO[C@H]6CCC[C@@H]6O)nc5)cc4s3)C2)[C@@H](C)C1,1.9
CC(=O)N1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,450.0
CC(=O)N1CCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)C2CC21,650.0
CC(=O)N1CCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1,620.0
CC(=O)N1CC[C@@H](Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,2.9
CC(=O)N1CC[C@@H](n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)[C@@H](O)C1,16.0
CC(=O)N1CC[C@@H](n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)[C@H](O)C1,3.0
CC(=O)N1CC[C@@H]1CNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.0
CC(=O)N1CC[C@H](c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)C1,4.0
CC(=O)N1CC[C@H](n2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)[C@H](O)C1,6.0
CC(=O)N1CC[C@H]1CNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,9.0
CC(=O)N1C[C@@H]2C[C@H]1CN2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,590.0
CC(=O)N1C[C@H]2COC[C@@H](C1)N2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,490.0
CC(=O)N1C[C@H]2C[C@@H](Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C[C@H]2C1,17.0
CC(=O)N1C[C@H]2C[C@@H]1CN2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,510.0
CC(=O)N1C[C@H]2C[C@H](Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C[C@H]2C1,2.0
CC(=O)N1Cc2ccc(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)cc2C1,1.0
CC(=O)N1[C@@H]2COC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,2430.0
CC(=O)N1[C@@H]2COC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3CCOCC3)s1)C2,800.0
CC(=O)NC(C)(C)CCNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,2.0
CC(=O)NC(C)(C)c1ccc(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cc1,2.0
CC(=O)NC1(c2ccc(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)cc2)CC1,1.0
CC(=O)NC12CC(NC(=O)c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)(C1)C2,5.0
CC(=O)NC12CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC3(C#N)CC3)(C1)C2,1.0
CC(=O)NC12CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC3CCC(C(=O)N4CCOCC4)CC3)(C1)C2,1.0
CC(=O)NC12CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NCC(F)(F)F)(C1)C2,5.0
CC(=O)NC12CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NCC(F)F)(C1)C2,3.0
CC(=O)NC12CC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)N[C@H]3CC[C@H](C(=O)N4CC(F)(F)C4)CC3)(C1)C2,1.0
CC(=O)NC12CC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s3)(C1)C2,1370.0
CC(=O)NC12CC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC4CCOCC4)s3)(C1)C2,650.0
CC(=O)NC12CCC(CC1)N(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,420.0
CC(=O)NC12CCC(NC(=O)c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)(CC1)CC2,1.0
CC(=O)NC12CCC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)(CC1)C2,1.0
CC(=O)NC12CCC(Nc3cc(Nc4ccc5ncsc5c4)ncc3C(=O)NC[C@@H](F)C(C)(C)O)(CC1)C2,3.1
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s3)(C1)C2,720.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s3)(CC1)C2,690.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s3)(CC1)CC2,1030.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC(C)C)s3)(CC1)OC2,1370.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC4CCOCC4)s3)(CC1)CC2,580.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC4COC4)s3)(C1)C2,2410.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC4COC4)s3)(CC1)CC2,580.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4NC4COC4)s3)(CC1)OC2,790.0
CC(=O)NC12CCC(c3nnc(-c4cnc(-c5ccc6cc(C#N)cnn56)cc4N[C@H](C)C#N)s3)(CC1)CC2,540.0
CC(=O)NC1CC2(C1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,1170.0
CC(=O)NC1CC2CC1CC2c1nnc(-c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC(C)C)s1,780.0
CC(=O)NC1CC=C(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1,1470.0
CC(=O)NC1CCC(F)(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1,570.0
CC(=O)NC1CCC(F)(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3COC3)s2)CC1,1090.0
CC(=O)NC1CCC(NC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2N[C@H]2CC[C@H](NC(C)=O)CC2)CC1,2.0
CC(=O)NC1CCC(c2cc(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)on2)CC1,2.0
CC(=O)NC1CCC(c2cn(-c3cnc(-n4ncc5cc(C#N)cnc54)cc3NC(C)C)nn2)CC1,3.0
CC(=O)NC1CCC(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3CCC(c4nnc(C(F)F)o4)CC3)s2)CC1,1.0
CC(=O)NC1CCC2(C1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,360.0
CC(=O)NC1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,1160.0
CC(=O)NC1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3(C)COC3)s1)C2,630.0
CC(=O)NC1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3CCOCC3)s1)C2,480.0
CC(=O)NC1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3COC3)s1)C2,850.0
CC(=O)NC1CCC2(CC1)CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3N[C@H](C)C#N)s1)C2,1060.0
CC(=O)NC1CCCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1,610.0
CC(=O)NC1CCN(C(=O)c2nnc(-c3cnc(Nc4ccc5ncsc5c4)cc3NC(C)C)s2)C1,3.3
CC(=O)NC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3ccc4ccccc4n3)c(=O)[nH]2)C1,54.0
CC(=O)NC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,94.0
CC(=O)NC1CCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1(F)F,480.0
CC(=O)NC1CCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)[C@@H](C)C1,910.0
CC(=O)NC1CCN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC3(C)COC3)s2)CC1(F)F,620.0
CC(=O)NC1CN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)C1,490.0
CC(=O)NC1CN(c2nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s2)CC1(F)F,370.0
CC(=O)NC1[C@@H]2COC[C@H]1CN(c1nnc(-c3cnc(-c4ccc5cc(C#N)cnn45)cc3NC(C)C)s1)C2,680.0
CC(=O)NCC(F)(F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC(C)C,11.0
